unidad,var_x,var_y,pearson_r,pearson_p,spearman_rho,spearman_p,n,spearman_p_fdr,sig_tras_fdr
Localidad,deficit_aseo_relativo,densidad_cestas_km2,-0.99,0.0,-0.995,0.0,20,0.0,True
Localidad,deficit_aseo_relativo,densidad_puntos_criticos_km2,-0.643,0.00224,-0.666,0.00133,20,0.00448,True
Localidad,deficit_aseo_relativo,densidad_cuadrantes_km2,-0.408,0.07421,-0.693,0.0007,20,0.00265,True
Localidad,deficit_aseo_relativo,densidad_homicidios_km2,-0.442,0.05129,-0.436,0.05458,20,0.09739,False
Localidad,deficit_aseo_relativo,densidad_incidentes_km2,-0.84,0.0,-0.842,0.0,20,0.0,True
Localidad,deficit_aseo_relativo,dist_estacion_bomberos_m,0.421,0.06434,0.523,0.01789,20,0.03464,True
Localidad,deficit_aseo_relativo,deficit_aseo_percapita,0.736,0.00022,0.701,0.00058,20,0.00229,True
Localidad,deficit_aseo_relativo,cestas_por_1000hab,-0.724,0.00031,-0.672,0.00117,20,0.0041,True
Localidad,deficit_aseo_relativo,puntos_criticos_por_100milhab,-0.559,0.01041,-0.424,0.06241,20,0.10517,False
Localidad,deficit_aseo_relativo,homicidios_por_100milhab,0.071,0.76682,0.31,0.18381,20,0.27421,False
Localidad,deficit_aseo_relativo,densidad_poblacional_hab_km2,-0.389,0.08971,-0.577,0.00767,20,0.01886,True
Localidad,densidad_cestas_km2,densidad_puntos_criticos_km2,0.621,0.00348,0.66,0.00153,20,0.0048,True
Localidad,densidad_cestas_km2,densidad_cuadrantes_km2,0.41,0.07258,0.718,0.00037,20,0.00177,True
Localidad,densidad_cestas_km2,densidad_homicidios_km2,0.425,0.06195,0.453,0.04508,20,0.08205,False
Localidad,densidad_cestas_km2,densidad_incidentes_km2,0.823,1e-05,0.835,0.0,20,0.0,True
Localidad,densidad_cestas_km2,dist_estacion_bomberos_m,-0.392,0.08744,-0.525,0.01751,20,0.03464,True
Localidad,densidad_cestas_km2,deficit_aseo_percapita,-0.78,5e-05,-0.707,0.00049,20,0.00203,True
Localidad,densidad_cestas_km2,cestas_por_1000hab,0.776,6e-05,0.683,0.00091,20,0.00331,True
Localidad,densidad_cestas_km2,puntos_criticos_por_100milhab,0.579,0.00741,0.424,0.06241,20,0.10517,False
Localidad,densidad_cestas_km2,homicidios_por_100milhab,-0.029,0.90469,-0.275,0.24028,20,0.33639,False
Localidad,densidad_cestas_km2,densidad_poblacional_hab_km2,0.309,0.18529,0.564,0.00961,20,0.02133,True
Localidad,densidad_puntos_criticos_km2,densidad_cuadrantes_km2,0.348,0.13278,0.76,0.0001,20,0.00065,True
Localidad,densidad_puntos_criticos_km2,densidad_homicidios_km2,0.744,0.00017,0.827,1e-05,20,0.0001,True
Localidad,densidad_puntos_criticos_km2,densidad_incidentes_km2,0.657,0.00166,0.629,0.00298,20,0.00875,True
Localidad,densidad_puntos_criticos_km2,dist_estacion_bomberos_m,-0.345,0.13627,-0.727,0.00029,20,0.00147,True
Localidad,densidad_puntos_criticos_km2,deficit_aseo_percapita,-0.157,0.50909,-0.078,0.74306,20,0.80498,False
Localidad,densidad_puntos_criticos_km2,cestas_por_1000hab,0.16,0.50053,0.038,0.87492,20,0.91515,False
Localidad,densidad_puntos_criticos_km2,puntos_criticos_por_100milhab,0.782,5e-05,0.751,0.00014,20,0.0008,True
Localidad,densidad_puntos_criticos_km2,homicidios_por_100milhab,0.145,0.54225,0.053,0.82306,20,0.87091,False
Localidad,densidad_puntos_criticos_km2,densidad_poblacional_hab_km2,0.673,0.00116,0.839,0.0,20,0.0,True
Localidad,densidad_cuadrantes_km2,densidad_homicidios_km2,0.343,0.13871,0.775,6e-05,20,0.00046,True
Localidad,densidad_cuadrantes_km2,densidad_incidentes_km2,0.67,0.00122,0.854,0.0,20,0.0,True
Localidad,densidad_cuadrantes_km2,dist_estacion_bomberos_m,-0.311,0.18243,-0.711,0.00044,20,0.00199,True
Localidad,densidad_cuadrantes_km2,deficit_aseo_percapita,-0.35,0.12999,-0.356,0.12368,20,0.19405,False
Localidad,densidad_cuadrantes_km2,cestas_por_1000hab,0.334,0.15038,0.31,0.18363,20,0.27421,False
Localidad,densidad_cuadrantes_km2,puntos_criticos_por_100milhab,0.344,0.1376,0.555,0.01107,20,0.02343,True
Localidad,densidad_cuadrantes_km2,homicidios_por_100milhab,0.12,0.61428,0.148,0.53299,20,0.64089,False
Localidad,densidad_cuadrantes_km2,densidad_poblacional_hab_km2,0.171,0.47184,0.636,0.00256,20,0.00777,True
Localidad,densidad_homicidios_km2,densidad_incidentes_km2,0.352,0.12824,0.505,0.02306,20,0.04372,True
Localidad,densidad_homicidios_km2,dist_estacion_bomberos_m,-0.312,0.17995,-0.602,0.00502,20,0.01428,True
