year,upz_id,upz_nombre,localidad_id,localidad_nombre,pct_stratum_1_2,cestas,cestas_per_km2,containers,containers_per_km2,sweeping_route_coverage,critical_points,critical_points_per_km2,emergencies,emergencies_per_km2
2019,86,El Porvenir,07,BOSA,100.0,464,100.72,170,36.9,22.7,11,2.39,296.0,64.25
2019,82,Patio Bonito,08,KENNEDY,100.0,143,45.1,11,3.47,18.5,12,3.78,354.0,111.65
2019,37,Santa Isabel,14,LOS MARTIRES,0.0,984,491.26,9,4.49,41.6,3,1.5,187.0,93.36
2019,49,Apogeo,07,BOSA,61.5,345,163.96,3,1.43,26.1,2,0.95,107.0,50.85
2019,19,El Prado,11,SUBA,2.1406727828746175,1683,388.63,202,46.64,85.1,5,1.15,468.0,108.07
2019,24,Niza,11,SUBA,0.4975124378109453,2209,292.2,223,29.5,69.4,1,0.13,523.0,69.18
2019,23,Casa Blanca Suba,11,SUBA,35.714285714285715,826,196.6,31,7.38,52.8,0,0.0,206.0,49.03
2019,110,Ciudad Salitre Occidental,09,FONTIBON,0.0,1242,550.73,69,30.6,20.5,0,0.0,222.0,98.44
2019,100,Galerias,13,TEUSAQUILLO,0.0,936,394.3,6,2.53,37.8,3,1.26,625.0,263.29
2019,83,Las Margaritas,08,KENNEDY,100.0,418,284.12,17,11.56,4.0,2,1.36,59.0,40.1
2019,107,Quinta Paredes,13,TEUSAQUILLO,0.0,705,405.59,26,14.96,33.8,2,1.15,240.0,138.07
2019,101,Teusaquillo,13,TEUSAQUILLO,0.0,1161,492.97,1,0.42,40.7,1,0.42,261.0,110.82
2019,91,Sagrado Corazon,03,SANTA FE,0.0,659,451.15,0,0.0,55.2,2,1.37,296.0,202.64
2019,108,Zona Industrial,16,PUENTE ARANDA,6.944444444444445,693,199.9,7,2.02,31.2,4,1.15,239.0,68.94
2019,55,Diana Turbay,18,RAFAEL URIBE URIBE,100.0,191,90.41,61,28.87,48.5,6,2.84,168.0,79.52
2019,51,Los Libertadores,04,SAN CRISTOBAL,100.0,158,43.33,3,0.82,67.9,5,1.37,334.0,91.59
2019,60,Parque Entrenubes,05,USME,100.0,0,0.0,0,0.0,4.6,0,0.0,41.0,9.79
2019,56,Danubio,05,USME,100.0,443,153.55,0,0.0,36.5,1,0.35,173.0,59.96
2019,65,Arborizadora,19,CIUDAD BOLIVAR,66.7910447761194,529,172.86,77,25.16,28.5,10,3.27,302.0,98.69
2019,2,La Academia,11,SUBA,0.0,7,1.04,43,6.4,24.7,0,0.0,20.0,2.98
2019,17,San Jose De Bavaria,11,SUBA,0.0,660,150.71,286,65.31,70.7,1,0.23,334.0,76.27
